Id,FacilityName,Street,EmailAddress,TelephoneNumber,ContactNumber,BarangayId,city_municipality_id,province_id,AccreditationNo,Sector,Zipcode,CipherKey,Status,TypeofFacility
1,TUPI - BOLOL MALA - BHS,NULL,BHSBOLOBMALA@GMAIL.COM,NULL,9000000000,34877,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
3,TUPI - ACMONAN - BHS,PUROK 1,bhsacmonan@gmail.com,NULL,9000000000,34876,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
4,TUPI - BUNAO - BHS,PUROK 1,bhsbunao@gmail.com,NULL,9000000000,34878,1327,64,NULL,NULL,NULL,NULL,1,LEVEL 0
5,TUPI - CEBUANO  - BHS,PUROK PAG-ASA 1,NULL,NULL,NULL,34879,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
6,TUPI - CROSSING RUBBER - BHS,NULL,NULL,NULL,NULL,34880,1327,64,NULL,NULL,NULL,NULL,1,LEVEL 0
7,TUPI - KABLON - BHS,PUROK BAGONG SILANG,NULL,NULL,NULL,34881,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
8,TUPI - KALKAM - BHS,PUROK 2,NULL,NULL,NULL,34882,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
9,TUPI - LINAN - BHS,PUROK 2,NULL,NULL,NULL,34883,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
10,TUPI - LUNEN - BHS,PUROK SARISA,NULL,NULL,NULL,34884,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
11,TUPI - MIASONG - BHS,PUROK 1,NULL,NULL,NULL,34885,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
12,TUPI - PALIAN - BHS,PUROK 1A,NULL,NULL,NULL,34886,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
13,TUPI - POBLACION - BHS,"GENSAN DRIVE, NATIONAL HIGHWAY",NULL,NULL,NULL,34887,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
14,TUPI - POLONULING - BHS,PUROK 9,NULL,NULL,NULL,34888,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
15,TUPI - SIMBO - BHS,PUROK 10,NULL,NULL,NULL,34889,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
16,TUPI - TUBENG - BHS,PUROK 1A,NULL,NULL,NULL,34890,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
17,TUPI - UPPER POBLACION - BHS,PUROK 10,NULL,NULL,NULL,34887,1327,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
18,T'BOLI  - RHU,NULL,NULL,NULL,NULL,34863,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
19,T'BOLI - TALUFO - BHS,NULL,NULL,NULL,NULL,34865,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
20,T'BOLI - AFLEK - BHS,NULL,NULL,NULL,NULL,34867,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
21,T'BOLI - AFUS - BHS,NULL,NULL,NULL,NULL,34860,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
22,T'BOLI - BASAG - BHS,NULL,NULL,NULL,NULL,34851,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
23,T'BOLI - DATAL BOB - BHS,NULL,NULL,NULL,NULL,34868,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
24,T'BOLI - DATAL DLANAG - BHS,NULL,NULL,NULL,NULL,34870,1326,64,NULL,GOVERNMENT,NULL,NULL,1,LEVEL 0
